,,,,,,,
,,,,,,,
,Categoría,Descripción,Proveedor,Enlace,Precio,Unidades,Precio/Ud
,Ordenadores,Raspberry PI 5 8GB,RobotShop,https://eu.robotshop.com/es/products/computadora-monoplaca-raspberry-pi-5-de-8gb?qd=411459efd67b943ac867af54530b6f01,"109,94 €",1,"109,94 €"
,Ordenadores,Raspberry PI 5 8GB,Farnell España,https://es.farnell.com/raspberry-pi/rpi5-8gb-single/placa-rpi-5-2-4ghz-8gb-arm-cortex/dp/4256000,"99,16 €",1,"99,16 €"
,Ordenadores,Raspberry PI 5 8GB,Mouser Electronics,https://www.mouser.es/ProductDetail/Raspberry-Pi/SC1432?qs=4dK74SdgGtykYzUsGkX7lw%3D%3D,"81,70 €",1,"81,70 €"
,Ordenadores,Raspberry PI 5 4GB,RobotShop,https://eu.robotshop.com/es/products/computadora-monoplaca-raspberry-pi-5-de-4gb?qd=411459efd67b943ac867af54530b6f01,"82,45 €",1,"82,45 €"
,Ordenadores,Raspberry PI 5 4GB,Farnell España,https://es.farnell.com/raspberry-pi/rpi5-4gb-single/placa-rpi-5-2-4ghz-4gb-arm-cortex/dp/4255998,"73,06 €",1,"73,06 €"
,Ordenadores,Raspberry PI 5 4GB,Mouser Electronics,https://www.mouser.es/ProductDetail/Raspberry-Pi/SC1432?qs=4dK74SdgGtykYzUsGkX7lw%3D%3D,"60,20 €",1,"60,20 €"
,Ordenadores,Raspberry PI 4B 8GB,RobotShop,https://eu.robotshop.com/es/products/placa-de-computadora-raspberry-pi-4-b-de-8gb?qd=11350476af1818143f70d09c5201f726,"116,20 €",1,"116,20 €"
,Ordenadores,Raspberry PI 4B 8GB,Farnell España,https://es.farnell.com/raspberry-pi/rpi4-modbp-4gb/rpi-computer-rpi-4-mod-b-4gb-1/dp/3051887,"88,72 €",1,"88,72 €"
,Ordenadores,Raspberry PI 4B 4GB,RobotShop,https://eu.robotshop.com/es/products/placa-computadora-raspberry-pi-4-b-4g?qd=11350476af1818143f70d09c5201f726,"84,51 €",1,"84,51 €"
,Ordenadores,Raspberry PI 4B 4GB,Farnell España,https://es.farnell.com/raspberry-pi/rpi4-modbp-4gb/rpi-computer-rpi-4-mod-b-4gb-1/dp/3051887,"62,63 €",1,"62,63 €"
,Controladores,Waveshare ESP32-P4-WIFI6-DEV-KIT,AliExpress,"https://es.aliexpress.com/item/1005009667443803.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.3f80qy97qy97N7&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=4e4ba120-b603-4382-96d8-2d0f59ef9a23&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:4e4ba120-b603-4382-96d8-2d0f59ef9a23,tpp_buckets:668%232846%238108%231977&pdp_ext_f=%7B%22order%22%3A%2239%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2151.09%2122.99%21%21%21411.68%21185.25%21%40211b65de17668500816138463e992b%2112000049812504572%21rec%21ES%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009667443803%7C_p_origin_prod%3A","22,99 €",1,"22,99 €"
,Controladores,Waveshare ESP32-P4-WIFI6-DEV-KIT,AliExpress,"https://es.aliexpress.com/item/1005009211973849.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.6da2gv0dgv0dtD&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=92577768-a395-473b-887b-153542eb2871&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:92577768-a395-473b-887b-153542eb2871,tpp_buckets:668%232846%238115%232000&pdp_ext_f=%7B%22order%22%3A%22186%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2124.78%2120.28%21%21%2128.52%2123.34%21%402103835e17668487575506433e8bcc%2112000048329484869%21rec%21ES%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009211973849%7C_p_origin_prod%3A","24,79 €",1,"24,79 €"
,Controladores,STM32F411CEU6,AliExpress,https://es.aliexpress.com/item/1005010580437971.html?spm=a2g0o.productlist.main.1.25fd116cVyBoTz&algo_pvid=ee2d6037-03a2-4be3-bbad-0195a7316cc7&algo_exp_id=ee2d6037-03a2-4be3-bbad-0195a7316cc7-0&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2119.29%2114.31%21%21%21155.42%21115.31%21%402103917f17668504092262355e50ca%2112000052882848402%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636332&curPageLogUid=rsNkEkzs9bBH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010580437971%7C_p_origin_prod%3A,"3,81 €",1,"3,81 €"
,Controladores,STM32F407ZET6 Dev Kit,AliExpress,https://es.aliexpress.com/item/1005007528247583.html?spm=a2g0o.productlist.main.4.25fd116cVyBoTz&algo_pvid=ee2d6037-03a2-4be3-bbad-0195a7316cc7&algo_exp_id=ee2d6037-03a2-4be3-bbad-0195a7316cc7-3&pdp_ext_f=%7B%22order%22%3A%2226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2117.79%2117.79%21%21%21143.35%21143.35%21%402103917f17668504092262355e50ca%2112000041168848026%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895&curPageLogUid=U0QMHLzasDo9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007528247583%7C_p_origin_prod%3A,"17,79 €",1,"17,79 €"
,Controladores,Waveshare ESP32-P4-ETH,AliExpress,"https://es.aliexpress.com/item/1005009718228392.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.12831rno1rnoKu&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=35e1ebc8-488a-4d83-b7ea-ebc3b94262d8&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:35e1ebc8-488a-4d83-b7ea-ebc3b94262d8,tpp_buckets:668%232846%238115%232000&pdp_ext_f=%7B%22order%22%3A%22199%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2127.90%2113.39%21%21%21224.82%21107.90%21%402103835e17668487744786857e8bcc%2112000049941299745%21rec%21ES%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009718228392%7C_p_origin_prod%3A","17,96 €",1,"17,96 €"
,Sensores,YDLIDAR X4 Pro 360,AliExpress,https://es.aliexpress.com/item/1005008944460253.html?spm=a2g0o.productlist.main.1.407f5b970998rN&algo_pvid=b5c44e82-08f8-42b8-b259-913413b802c0&algo_exp_id=b5c44e82-08f8-42b8-b259-913413b802c0-0&pdp_ext_f=%7B%22order%22%3A%2232%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2162.95%2158.45%21%21%21507.26%21471.00%21%40211b80c217668493382243113e6d36%2112000047303324091%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&curPageLogUid=lTuF3b6X44oS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008944460253%7C_p_origin_prod%3A,"62,99 €",1,"62,99 €"
,Sensores,Waveshare D200 LD14P,AliExpress,https://es.aliexpress.com/item/1005005558105228.html?spm=a2g0o.productlist.0.0.5f203da6w8j9K4&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2047.79%21EUR%2047.79%21%21EUR%2047.79%21%21%21%40211b61ae17671966407244860e0c20%2112000033535695828%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"47,79 €",1,"47,79 €"
,Sensores,Waveshare D200 LD14P,RobotShop,https://eu.robotshop.com/es/products/kit-de-desarrollo-d200-c-lidar-lidar-de-triangulacion-omni-direccional-360-ld14p-de-8m?variant=47037103604048,"62,30 €",1,"62,30 €"
,Sensores,Lidar D500 LD19P,AliExpress,"https://es.aliexpress.com/item/1005010407225695.html?spm=a2g0o.cart.shoppingCartRecommend.12.25b87a9dxD0Kku&gps-id=shoppingCartRecommend&scm=1007.29670.470291.0&scm_id=1007.29670.470291.0&scm-url=1007.29670.470291.0&pvid=3eb6d6d0-74b0-45cd-a6fd-1cc8bfece96b&_t=gps-id:shoppingCartRecommend,scm-url:1007.29670.470291.0,pvid:3eb6d6d0-74b0-45cd-a6fd-1cc8bfece96b,tpp_buckets:668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%2259%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%223440%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2140.67%2140.33%21%21%2147.18%2146.79%21%40211b81a317709086167105887e37c9%2112000052318108402%21rec%21ES%21727181518%21XZ%211%210%21n_tag%3A-29919%3Bd%3Aea23ed5a%3Bm03_new_user%3A-29895%3BpisId%3A5000000200976702&utparam-url=scene%3AshoppingCartRecommend%7Cquery_from%3A%7Cx_object_id%3A1005010407225695%7C_p_origin_prod%3A&search_p4p_id=202602120703367401003615307056109650_2#nav-description","55,52 €",1,"55,52 €"
,Sensores,Lidar D500 LD19P,Mouser Electronics,SEN0547 DFRobot | Mouser España,"102,34 €",1,"102,34 €"
,Sensores,Cámara IMX219 8MP,AliExpress,https://es.aliexpress.com/item/1005006912887641.html?spm=a2g0o.productlist.main.2.56a46844wASj1R&algo_pvid=67a0bdfc-fcee-44bc-b98b-24f78b39fde6&algo_exp_id=67a0bdfc-fcee-44bc-b98b-24f78b39fde6-1&pdp_ext_f=%7B%22order%22%3A%2266%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%218.76%214.26%21%21%2170.59%2134.33%21%40211b807017668510381455094e9401%2112000038706311284%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&curPageLogUid=uvsRAykOoGr7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006912887641%7C_p_origin_prod%3A,"7,51 €",1,"7,51 €"
,Sensores,Cámara IMX219 8MP,RobotShop,https://eu.robotshop.com/es/products/arducam-imx415-mipi-camera-module-rpi?qd=6ea4a7c0c2e7dd99a9e710f98445a2a8,"27,49 €",1,"27,49 €"
,Sensores,Array sensor IR de 8 canales,AliExpress,https://es.aliexpress.com/item/1005008643159988.html?spm=a2g0o.productlist.main.5.4fdb22f9NZ3y7t&algo_pvid=f90af064-ea9c-43e9-af0e-b717dd60fb35&algo_exp_id=f90af064-ea9c-43e9-af0e-b717dd60fb35-4&pdp_ext_f=%7B%22order%22%3A%22159%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%213.78%210.99%21%21%2130.42%217.96%21%40211b613917668511532241512e5bab%2112000046070391331%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636331&curPageLogUid=zUoMzW7yVhpO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008643159988%7C_p_origin_prod%3A#nav-description,"6,39 €",5,"1,28 €"
,Sensores,IMU Absoluto Odometria BNO085,AliExpress,https://a.aliexpress.com/_EvyNRIY,"15,29 €",1,"15,29 €"
,Sensores,IMU Absoluto Odometria BNO085,Mouser Electronics,https://www.mouser.es/ProductDetail/Adafruit/4754?qs=hd1VzrDQEGjjfej09NGRTw%3D%3D,"21,46 €",1,"21,46 €"
,Sensores,Voltaje y Corriente INA226 20A,AliExpress,https://a.aliexpress.com/_EHHc2bQ,"2,99 €",1,"2,99 €"
,Sensores,Voltaje y Corriente INA226 20A,Mouser Electronics,https://www.mouser.es/ProductDetail/Tinkerforge/2105?qs=T8HDo%252BTk69WoIYsaxrzsmw%3D%3D,"16,51 €",1,"16,51 €"
,Sensores,Waveshare D300 LD19P,AliExpress,https://es.aliexpress.com/item/1005008606058253.html?spm=a2g0o.cart.0.0.2e437a9dPJt0Eu&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2056.69%21EUR%2056.69%21%21EUR%2056.69%21%21%21%40211b876e17698089523275321e806b%2112000045926099012%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"56,69 €",1,"56,69 €"
,Sensores,ICM 42688 IMU,AliExpress,"https://es.aliexpress.com/item/1005010500159119.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.4.6bc6Rv0fRv0f7V&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=f624ccbe-a7bb-4148-9ff8-5dd10760d7de&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:f624ccbe-a7bb-4148-9ff8-5dd10760d7de,tpp_buckets:668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2110.95%216.79%21%21%2188.52%2154.89%21%402103835c17698050338571936ef6f9%2112000052604049365%21rec%21ES%21727181518%21X%211%210%21n_tag%3A-29919%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005010500159119%7C_p_origin_prod%3A","6,76 €",1,"6,76 €"
,Sensores,RPLIDAR C1,AliExpress,https://es.aliexpress.com/item/1005006190309082.html?spm=a2g0o.productlist.main.1.2d1fNegVNegVYv&algo_pvid=b0eb8b43-b282-4291-b19c-dafb2a9f6134&algo_exp_id=b0eb8b43-b282-4291-b19c-dafb2a9f6134-0&pdp_ext_f=%7B%22order%22%3A%2283%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2173.32%2165.99%21%21%2185.34%2176.81%21%402103847817698056559512464e8e9e%2112000038572470618%21sea%21ES%21727181518%21X%211%210%21n_tag%3A-29919%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895&curPageLogUid=U7NA4Wdh3SLZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006190309082%7C_p_origin_prod%3A#nav-description,"65,99 €",1,"65,99 €"
