,,,,,,,
,Sensores,RPLIDAR C1,Mouser Electronics,https://www.mouser.es/ProductDetail/DFRobot/DFR1138?qs=HFfMDpzxxd1gcZ03rGcZCg%3D%3D,"62,61 €",1,"62,61 €"
,Modulos Electronica,Convertidor Buck XL4015 5A,AliExpress,https://a.aliexpress.com/_EGcOWak,"2,09 €",2,"1,05 €"
,Modulos Electronica,Convertidor Buck XL4015 5A Disipador,AliExpress,https://es.aliexpress.com/item/1005008778673117.html?spm=a2g0o.cart.0.0.419c7a9dZsYgPG&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2012.48%21EUR%205.99%21%21EUR%205.64%21%21%21%40211b819117673817266745200ef158%2112000046630877977%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"5,99 €",5,"1,20 €"
,Modulos Electronica,Convertidor Buck XL4015 5A Pantalla,BricoGeek,https://tienda.bricogeek.com/convertidores-de-voltaje/1399-conversor-dc-dc-ajustable-5a-75w-xl4015.html?_gl=1*1fo7sq6*_up*MQ..*_gs*MQ..&gclid=Cj0KCQiA9t3KBhCQARIsAJOcR7xhiyXYoXE8V31BC3M8D1aTTHFBD6rPG9xVc38BCCr9MQDte2zQAloaAtrAEALw_wcB&gbraid=0AAAAADkb14c91AvrnRQ0AXZpneJ_E3PMr,"5,45 €",1,"5,45 €"
,Modulos Electronica,Pololu CC Simple TB9051FTG,RobotShop,https://eu.robotshop.com/es/products/portador-de-controlador-de-motor-de-cc-simple-con-escobillas-de-26a-pololu-tb9051ftg?qd=bb892639f00effa0e49a85ac1a7ed5ce,"14,24 €",1,"14,24 €"
,Modulos Electronica,Drivers DRV8871,AliExpress,https://es.aliexpress.com/item/1005009890289198.html?spm=a2g0o.productlist.main.1.2e8a2bf8VQ3xbp&algo_pvid=9d27eb91-ad89-44ad-bcd4-ba8bf0d98ec1&algo_exp_id=9d27eb91-ad89-44ad-bcd4-ba8bf0d98ec1-0&pdp_ext_f=%7B%22order%22%3A%22885%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%216.02%212.55%21%21%2147.21%2120.00%21%402101c44517729020397748370e06b3%2112000050491665091%21sea%21ES%21727181518%21X%211%210%21n_tag%3A-29919%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000201414769&curPageLogUid=PiwSs4tcZQ1W&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009890289198%7C_p_origin_prod%3A,"2,55 €",2,"1,28 €"
,Modulos Electronica,Ventilador Raspberry,BricoGeek,https://tienda.bricogeek.com/accesorios-raspberry-pi/1884-disipador-con-ventilador-activo-oficial-raspberry-pi-5.html,"7,20 €",1,"7,20 €"
,Modulos Electronica,Ventilador Raspberry,AliExpress,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.19815gXp5gXpX0&productIds=1005006738849604:12000038140377920&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006738849604%7C_p_origin_prod%3A&pvid=790de8a5-d88f-4af5-98c7-8ca4caffcd0c,"3,99 €",1,"3,99 €"
,Actuadores,Servo Metal MG996R 190,AliExpress,https://es.aliexpress.com/item/1005007453439275.html?spm=a2g0o.productlist.main.4.da0253a0Pz1uNQ&algo_pvid=d5ca3fc8-1bdd-4f01-9f7b-b8cd65956b6c&algo_exp_id=d5ca3fc8-1bdd-4f01-9f7b-b8cd65956b6c-3&pdp_ext_f=%7B%22order%22%3A%22268%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2114.08%210.99%21%21%21113.46%218.01%21%40210385a817668517234842169e90ab%2112000040821594580%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&curPageLogUid=Ye4Ib77nsycN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007453439275%7C_p_origin_prod%3A,"2,99 €",1,"2,99 €"
,Actuadores,Smart Car Kit CC de JGA25-370 12V,AliExpress,"https://es.aliexpress.com/item/1005001279982165.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.e28dYrraYrrarX&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=c7dcc4cb-2327-45c3-abac-e480a61931bd&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:c7dcc4cb-2327-45c3-abac-e480a61931bd,tpp_buckets:668%232846%238109%231935&pdp_ext_f=%7B%22order%22%3A%22241%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2110.41%215.91%21%21%2111.98%216.80%21%40211b619a17668529693584942e8dec%2112000043931619198%21rec%21ES%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005001279982165%7C_p_origin_prod%3A#nav-specification","9,79 €",1,"9,79 €"
,Actuadores,Altavoz 8 ohm 2W,AliExpress,https://es.aliexpress.com/item/1005008626624201.html?spm=a2g0o.cart.0.0.23ee7a9dTql3Uq&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.49%21EUR%201.37%21%21EUR%201.24%21%21%21%40210385a817673732693488585e2c52%2112000049446471557%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"1,37 €",1,"1,37 €"
,Baterías,Lipo 3s 3000mah xt60,AliExpress,https://es.aliexpress.com/item/1005008034158774.html?spm=a2g0o.productlist.main.1.7c95526eXM0Uie&algo_pvid=c8c1c8de-f527-4b44-b3ab-b5130adffb2c&algo_exp_id=c8c1c8de-f527-4b44-b3ab-b5130adffb2c-0&pdp_ext_f=%7B%22order%22%3A%22879%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2135.15%218.45%21%21%21283.26%2168.11%21%40211b431017668521050978210e53b6%2112000043344437981%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636332&curPageLogUid=MeYqa64lLFOy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008034158774%7C_p_origin_prod%3A,"23,74 €",1,"23,74 €"
,Baterías,"TERANTY 3S 11,1 V 2700mAh 45C-XT60",AliExpress,https://es.aliexpress.com/item/1005010519773316.html?spm=a2g0o.productlist.main.7.2b3156e3EmuxJb&algo_pvid=93b0bff0-8997-427a-8e49-1fd06ae1774b&algo_exp_id=93b0bff0-8997-427a-8e49-1fd06ae1774b-6&pdp_ext_f=%7B%22order%22%3A%2229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2118.41%2111.11%21%21%21148.31%2189.46%21%402103864c17668881866958650e7a7d%2112000052677243428%21sea%21ES%21727181518%21X%211%210%21n_tag%3A-29919%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000197090676&curPageLogUid=ozxyvNmfReu7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010519773316%7C_p_origin_prod%3A,"13,65 €",1,"13,65 €"
,Baterías,TERANTY 4S 2200mAh 45C-XT60,AliExpress,https://es.aliexpress.com/item/1005010016960324.html?spm=a2g0o.cart.0.0.2e437a9dPJt0Eu&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2024.09%21EUR%2018.79%21%21EUR%2018.41%21%21%21%40211b876e17698089523275321e806b%2112000050850952700%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"18,79 €",1,"18,79 €"
,Baterías,Lipo 4s 3000mah xt60,AliExpress,https://es.aliexpress.com/item/1005004556843644.html?spm=a2g0o.cart.0.0.3fb17a9dDbKBOw&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2042.39%21EUR%2031.79%21%21EUR%2031.79%21%21%21%40211b430817672972179046213e1419%2112000032806320148%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"31,79 €",1,"31,79 €"
,Baterías,Batería 4s 2300 mah,RC Innovation,"https://rc-innovations.es/en/shop/taa23004s75x6-tattu-2300mah-14-8v-75c-lipo-battery-6364?category=495&attrib=&attrib=98-531&attrib=#attr=8517,8516,8515","30,99 €",1,"30,99 €"
,Cableado y Conectores,Kit Cable Cable 16AWG 1m,AliExpress,https://es.aliexpress.com/item/1005005888991575.html?spm=a2g0o.productlist.main.9.7eaf7b6akziLuB&algo_pvid=9581bfbc-4448-4921-9e4a-fe0fdbe14490&algo_exp_id=9581bfbc-4448-4921-9e4a-fe0fdbe14490-8&pdp_ext_f=%7B%22order%22%3A%224862%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%215.93%211.43%21%21%2147.80%2111.54%21%40211b680e17668538655168758e6259%2112000034717501746%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&curPageLogUid=JHdXoStmcICH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005888991575%7C_p_origin_prod%3A,"11,34 €",20,"0,57 €"
,Cableado y Conectores,Kit Cable Cable 16AWG 1m,RobotShop,https://eu.robotshop.com/es/products/cable-phidgets-2-conductores-16awg-negro?variant=49603940811088,"1,88 €",1,"1,88 €"
,Cableado y Conectores,Kit Cable Colores 24AWG 1m,AliExpress,https://es.aliexpress.com/item/1005005888991575.html?spm=a2g0o.productlist.main.9.7eaf7b6akziLuB&algo_pvid=9581bfbc-4448-4921-9e4a-fe0fdbe14490&algo_exp_id=9581bfbc-4448-4921-9e4a-fe0fdbe14490-8&pdp_ext_f=%7B%22order%22%3A%224862%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%215.93%211.43%21%21%2147.80%2111.54%21%40211b680e17668538655168758e6259%2112000034717501746%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&curPageLogUid=JHdXoStmcICH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005888991575%7C_p_origin_prod%3A,"8,49 €",50,"0,17 €"
,Cableado y Conectores,Kit Cable Colores 24AWG 1m,RobotShop,https://eu.robotshop.com/es/products/kit-de-cable-de-conexion-24awg-de-plusivo-6-colores-11m-cada-uno?variant=42600749858984,"15,39 €",66,"0,23 €"
,Cableado y Conectores,Portafusibles 5x20mm,AliExpress,https://es.aliexpress.com/item/1005009889451866.html?spm=a2g0o.cart.0.0.23537a9dXo3X6s&mp=1&pdp_npi=6%40dis%21EUR%21EUR%203.23%21EUR%201.55%21%21EUR%201.42%21%21%21%4021038e1e17673727534923723ef4d0%2112000050489091348%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"1,55 €",5,"0,31 €"
,Cableado y Conectores,Interruptor KCD3 2 pines 15A,AliExpress,https://es.aliexpress.com/item/4000851587856.html?spm=a2g0o.cart.0.0.3d3d7a9d0O4O75&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.71%21EUR%202.59%21%21EUR%202.34%21%21%21%402103835c17673756412375561ee976%2110000009388037735%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"2,59 €",10,"0,26 €"
,Cableado y Conectores,Conector 2 a 8 32A,AliExpress,"https://es.aliexpress.com/item/1005005632786463.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.4.5468AKxlAKxlfD&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=22268ea7-9c6a-440c-959a-1a39257a2afe&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:22268ea7-9c6a-440c-959a-1a39257a2afe,tpp_buckets:668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%22337%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%215.04%211.61%21%21%2140.34%2112.91%21%40210385a817673761617705805e2c4e%2112000033821436177%21rec%21ES%21727181518%21XZ%211%210%21n_tag%3A-29919%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005005632786463%7C_p_origin_prod%3A#nav-specification","7,29 €",10,"0,73 €"
,Cableado y Conectores,Conector 2 a 6 32A,AliExpress,https://es.aliexpress.com/item/1005005805414976.html?spm=a2g0o.order_list.order_list_main.77.33f8194dFTgRgR&gatewayAdapt=glo2esp,"4,36 €",10,"0,44 €"
,Cableado y Conectores,Cable de red ethernet 10cm,AliExpress,https://es.aliexpress.com/item/1005006256986557.html?invitationCode=T05heGNOaWc2cSt6VVduVWFnMFNRNTZVaW1aRlMzczFYSTBKT3A4S0VMd2pmdlBzNkVmWTlBPT0&srcSns=sns_WhatsApp&spreadType=socialShare&social_params=61411278259&bizType=ProductDetail&spreadCode=T05heGNOaWc2cSt6VVduVWFnMFNRNTZVaW1aRlMzczFYSTBKT3A4S0VMd2pmdlBzNkVmWTlBPT0&aff_fcid=19db50bbd0334258b448066435039bc6-1769535108015-08808-_EINbEKg&tt=MG&aff_fsk=_EINbEKg&aff_platform=default&sk=_EINbEKg&aff_trace_key=19db50bbd0334258b448066435039bc6-1769535108015-08808-_EINbEKg&shareId=61411278259&businessType=ProductDetail&platform=AE&terminal_id=e2eba0acee7941048094e09f038bfe9f&afSmartRedirect=y,"1,90 €",1,"1,90 €"
,Materiales y Mecanica,PLA 1KG,Amazon,https://www.amazon.es/ANYCUBIC-Filamento-Impresora-Precisi%C3%B3n-Dimensional/dp/B07DCKH74D/ref=sr_1_14?crid=3RH4P00GXWB4C&dib=eyJ2IjoiMSJ9.CnQRgktBvNHVTWN2ih6NUH0nHbpyi9frBwM_Kbcme-LEvBLbe6kRQIfCdx8ffsUuyhy3o2Ee4uerA-z7pl_ucKxx_ZZ6eJB063BJGbIzj29c3D7JfKPyuGDoa_Z_qfa5GaeLcXyPx5P2F8-QK0UY3jeof5zXOIssLNvVGQfkqsUROqIxPUP7HWmFrft2KP8STIeRyrn-t-keu_dK7zRu0p7Qg8vRkqQflpZrxTwXLWQON7RJT12482cOC18LODhSmRuyEnR5_ikLx8-wmOzMIet_26LdEwl6rTbTxKhWf0U.gi9s47DTuxPGxAWje4mNYcRAnOSG6xvtGheDDvob2i4&dib_tag=se&keywords=pla%2Banycubic&qid=1766854024&sprefix=pla%2Ba%2Caps%2C243&sr=8-14&th=1,"15,99 €",1,"15,99 €"
,Materiales y Mecanica,PLA 1KG,Filament2Print,https://filament2print.com/es/pla/3493-pla-galaxy-bambu-lab.html,"23,13 €",1,"23,13 €"
,Materiales y Mecanica,PLA 1KG,AliExpress,https://a.aliexpress.com/_EzfaQiM,"18,99 €",1,"18,99 €"
,Materiales y Mecanica,Ruedas giratorias 360 °,AliExpress,https://es.aliexpress.com/item/1005010044249570.html?spm=a2g0o.cart.0.0.2c3a7a9d78CeOP&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.60%21EUR%201.60%21%21EUR%201.45%21%21%21%4021038e1e17673729943842556ef4d0%2112000050930908468%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp#nav-review,"1,60 €",4,"0,40 €"
,Descuentos y Ofertas,Descuento/Oferta,AliExpress,,"-20,00 €",1,"-20,00 €"